# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.686960995197296143e-01 3.261121511459350586e-01 1.053944349288940430e+00
1.000000000000000000e+03 2.734294859692454338e-03 1.864223158918321133e-03 1.630645245313644409e-01
2.000000000000000000e+03 7.144043338485062122e-04 7.253625662997364998e-04 8.862654864788055420e-02
3.000000000000000000e+03 5.297210882417857647e-04 5.154465325176715851e-04 7.481930404901504517e-02
4.000000000000000000e+03 4.261896247044205666e-04 4.164402489550411701e-04 6.610608845949172974e-02
5.000000000000000000e+03 3.347574383951723576e-04 3.373961371835321188e-04 5.914244055747985840e-02
6.000000000000000000e+03 2.520742127671837807e-04 2.545225434005260468e-04 5.201878398656845093e-02
7.000000000000000000e+03 1.421369961462914944e-04 1.358203735435381532e-04 3.819169849157333374e-02
8.000000000000000000e+03 6.837939145043492317e-05 6.404922169167548418e-05 2.662405557930469513e-02
9.000000000000000000e+03 5.143890302861109376e-05 4.523354800767265260e-05 2.372497506439685822e-02
1.000000000000000000e+04 4.542769602267071605e-05 3.796252713073045015e-05 2.227196283638477325e-02
1.100000000000000000e+04 4.140612873015925288e-05 3.338895839988254011e-05 2.115117385983467102e-02
1.200000000000000000e+04 3.800018748734146357e-05 2.983175545523408800e-05 2.009177394211292267e-02
1.300000000000000000e+04 3.466753332759253681e-05 2.686483821889851242e-05 1.912064105272293091e-02
1.400000000000000000e+04 3.135002407361753285e-05 2.429633059364277869e-05 1.823777519166469574e-02
1.500000000000000000e+04 2.844923437805846334e-05 2.237042281194590032e-05 1.756801642477512360e-02
1.600000000000000000e+04 2.580265754659194499e-05 2.038060119957663119e-05 1.672227308154106140e-02
1.700000000000000000e+04 3.590221967897377908e-05 3.283652040408924222e-05 2.516854368150234222e-02
1.800000000000000000e+04 2.027743357757572085e-05 1.730012991174589843e-05 1.517658121883869171e-02
1.900000000000000000e+04 1.797160621208604425e-05 1.585320933372713625e-05 1.452239044010639191e-02
2.000000000000000000e+04 1.729886025714222342e-05 1.639178481127601117e-05 1.549452263861894608e-02
2.100000000000000000e+04 1.421080924046691507e-05 1.354353389615425840e-05 1.322207227349281311e-02
2.200000000000000000e+04 1.245901512447744608e-05 1.207100831379648298e-05 1.219146605581045151e-02
2.300000000000000000e+04 1.210958544106688350e-05 1.156147573055932298e-05 1.258041989058256149e-02
2.400000000000000000e+04 1.050817809300497174e-05 1.048421108862385154e-05 1.110944896936416626e-02
2.500000000000000000e+04 9.899663382384460419e-06 1.000218981062062085e-05 1.066306512802839279e-02
2.600000000000000000e+04 9.479153050051536411e-06 9.555208634992595762e-06 1.042046397924423218e-02
2.700000000000000000e+04 9.109374332183506340e-06 9.145261174126062542e-06 1.020707935094833374e-02
2.800000000000000000e+04 8.771968168730381876e-06 8.771722605160903186e-06 1.001571770757436752e-02
2.900000000000000000e+04 8.463048288831487298e-06 8.453424015897326171e-06 9.843076579272747040e-03
3.000000000000000000e+04 1.741975211189128458e-05 1.584605161042418331e-05 1.830117404460906982e-02
