# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.740638852119445801e-01 3.189806342124938965e-01 1.012882351875305176e+00
1.000000000000000000e+03 2.585824113339185715e-03 1.996524864807724953e-03 1.594345569610595703e-01
2.000000000000000000e+03 8.096123347058892250e-04 8.146780310198664665e-04 9.123567491769790649e-02
3.000000000000000000e+03 5.294356960803270340e-04 5.556873511523008347e-04 7.543336600065231323e-02
4.000000000000000000e+03 3.518340527079999447e-04 3.883034514728933573e-04 6.375381350517272949e-02
5.000000000000000000e+03 2.538759435992687941e-04 2.785059914458543062e-04 5.453713983297348022e-02
6.000000000000000000e+03 1.545941777294501662e-04 1.515404728706926107e-04 4.132549837231636047e-02
7.000000000000000000e+03 1.087696145987138152e-04 1.028364495141431689e-04 3.412704542279243469e-02
8.000000000000000000e+03 8.918171806726604700e-05 8.289084507850930095e-05 3.102582506835460663e-02
9.000000000000000000e+03 7.427721720887348056e-05 6.688034773105755448e-05 2.844495140016078949e-02
1.000000000000000000e+04 6.301538815023377538e-05 5.545364183490164578e-05 2.625934779644012451e-02
1.100000000000000000e+04 5.537436300073750317e-05 4.792311301571317017e-05 2.465346269309520721e-02
1.200000000000000000e+04 4.999083830625750124e-05 4.251714199199341238e-05 2.332472242414951324e-02
1.300000000000000000e+04 4.503153104451484978e-05 3.768309034057892859e-05 2.225485071539878845e-02
1.400000000000000000e+04 4.020897176815196872e-05 3.294225825811736286e-05 2.105795592069625854e-02
1.500000000000000000e+04 3.433944948483258486e-05 2.842000321834348142e-05 1.968670636415481567e-02
1.600000000000000000e+04 2.793243584164883941e-05 2.426551327516790479e-05 1.787991076707839966e-02
1.700000000000000000e+04 2.219473572040442377e-05 2.058253448922187090e-05 1.579065248370170593e-02
1.800000000000000000e+04 1.928058736666571349e-05 1.847810017352458090e-05 1.448839902877807617e-02
1.900000000000000000e+04 1.758154394337907434e-05 1.714404970698524266e-05 1.367986202239990234e-02
2.000000000000000000e+04 1.633014289836864918e-05 1.613839594938326627e-05 1.306487247347831726e-02
2.100000000000000000e+04 1.530695044493768364e-05 1.524798062746413052e-05 1.256182044744491577e-02
2.200000000000000000e+04 1.703872658254113048e-05 1.709472417132928967e-05 1.433470007032155991e-02
2.300000000000000000e+04 1.429962867405265570e-05 1.439232892153086141e-05 1.222747936844825745e-02
2.400000000000000000e+04 1.330247869191225618e-05 1.307233196712331846e-05 1.147158723324537277e-02
2.500000000000000000e+04 1.278005584026686847e-05 1.250052719115046784e-05 1.119517441838979721e-02
2.600000000000000000e+04 1.234392311744159088e-05 1.202693238155916333e-05 1.101202890276908875e-02
2.700000000000000000e+04 1.183315634989412501e-05 1.146951217378955334e-05 1.068083290010690689e-02
2.800000000000000000e+04 1.137764957093168050e-05 1.101041470974450931e-05 1.043702848255634308e-02
2.900000000000000000e+04 1.100102963391691446e-05 1.059697115124436095e-05 1.027208566665649414e-02
3.000000000000000000e+04 1.967025673366151750e-05 1.849670297815464437e-05 1.837441697716712952e-02
