nohup: ignoring input
Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
2025-07-31 13:28:22,331 INFO: Base output directory set to: models/ensembles/width5_1
2025-07-31 13:28:22,331 INFO: Training ensemble model 1/4 (seed=683457113)...
Layers for branch: [11, 5, 5]
Layers for trunk: [2, 5, 5]
Compiling model...
'compile' took 0.835242 s

Training model...

Step      Train loss    Test loss     Test metric   
0         [2.70e-01]    [3.31e-01]    [1.09e+00]    
1000      [4.28e-03]    [3.41e-03]    [2.13e-01]    
2000      [1.14e-03]    [1.15e-03]    [1.05e-01]    
3000      [7.93e-04]    [9.41e-04]    [9.12e-02]    
4000      [6.97e-04]    [8.05e-04]    [8.68e-02]    
5000      [6.05e-04]    [6.94e-04]    [8.10e-02]    
6000      [4.47e-04]    [5.23e-04]    [7.06e-02]    
7000      [2.75e-04]    [3.32e-04]    [5.58e-02]    
8000      [1.74e-04]    [2.21e-04]    [4.30e-02]    
9000      [1.21e-04]    [1.55e-04]    [3.41e-02]    
10000     [9.14e-05]    [1.17e-04]    [2.94e-02]    
11000     [7.80e-05]    [9.18e-05]    [2.73e-02]    
12000     [7.09e-05]    [7.86e-05]    [2.63e-02]    
13000     [6.61e-05]    [6.97e-05]    [2.56e-02]    
14000     [6.22e-05]    [6.37e-05]    [2.49e-02]    
15000     [6.50e-05]    [6.15e-05]    [2.71e-02]    
16000     [5.52e-05]    [5.61e-05]    [2.33e-02]    
17000     [5.24e-05]    [5.33e-05]    [2.26e-02]    
18000     [5.01e-05]    [5.07e-05]    [2.21e-02]    
19000     [4.82e-05]    [4.85e-05]    [2.16e-02]    
20000     [4.66e-05]    [4.64e-05]    [2.12e-02]    
21000     [4.63e-05]    [4.73e-05]    [2.20e-02]    
22000     [4.42e-05]    [4.29e-05]    [2.06e-02]    
