# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.639784812927246094e-01 2.465670108795166016e-01 1.220234632492065430e+00
1.000000000000000000e+03 4.622092470526695251e-03 4.572184756398200989e-03 2.334978878498077393e-01
2.000000000000000000e+03 1.737327082082629204e-03 1.665396383032202721e-03 1.381738185882568359e-01
3.000000000000000000e+03 1.189833041280508041e-03 1.221263082697987556e-03 1.174085810780525208e-01
4.000000000000000000e+03 7.131675956770777702e-04 7.670076447539031506e-04 8.971998095512390137e-02
5.000000000000000000e+03 4.975975607521831989e-04 5.538598052226006985e-04 7.400055229663848877e-02
6.000000000000000000e+03 3.879288560710847378e-04 4.522950330283492804e-04 6.732199341058731079e-02
7.000000000000000000e+03 3.260860394220799208e-04 3.904093464370816946e-04 6.296525895595550537e-02
8.000000000000000000e+03 2.603361208457499743e-04 3.147536481264978647e-04 5.586719885468482971e-02
9.000000000000000000e+03 2.087114989990368485e-04 2.551222569309175014e-04 4.951405525207519531e-02
1.000000000000000000e+04 1.810030662454664707e-04 2.267656673211604357e-04 4.631607234477996826e-02
1.100000000000000000e+04 1.567321160109713674e-04 2.010080061154440045e-04 4.322909936308860779e-02
1.200000000000000000e+04 1.391432451782748103e-04 1.784837659215554595e-04 4.076854884624481201e-02
1.300000000000000000e+04 1.289666397497057915e-04 1.620296970941126347e-04 3.877834975719451904e-02
1.400000000000000000e+04 1.210718692163936794e-04 1.487407425884157419e-04 3.707716614007949829e-02
1.500000000000000000e+04 1.143850022344850004e-04 1.376833242829889059e-04 3.594683483242988586e-02
1.600000000000000000e+04 1.066618933691643178e-04 1.286829501623287797e-04 3.438398241996765137e-02
1.700000000000000000e+04 9.886265615932643414e-05 1.195090007968246937e-04 3.315546363592147827e-02
1.800000000000000000e+04 9.109151142183691263e-05 1.104362818296067417e-04 3.189872205257415771e-02
1.900000000000000000e+04 1.011091153486631811e-04 1.238413387909531593e-04 3.723311051726341248e-02
2.000000000000000000e+04 8.160804281942546368e-05 9.924247569870203733e-05 3.073588758707046509e-02
