# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.689473927021026611e-01 3.215212523937225342e-01 1.013627290725708008e+00
1.000000000000000000e+03 9.019505232572555542e-04 9.925696067512035370e-04 9.337466955184936523e-02
2.000000000000000000e+03 5.615034606307744980e-04 6.309327436611056328e-04 7.812186330556869507e-02
3.000000000000000000e+03 3.565214574337005615e-04 4.175385693088173866e-04 6.495281308889389038e-02
4.000000000000000000e+03 2.734782756306231022e-04 3.201011568307876587e-04 5.904615297913551331e-02
5.000000000000000000e+03 1.720924628898501396e-04 1.975518680410459638e-04 4.755793511867523193e-02
6.000000000000000000e+03 1.006416496238671243e-04 1.058648413163609803e-04 3.556478768587112427e-02
7.000000000000000000e+03 7.374955021077767015e-05 6.957893492653965950e-05 2.959873527288436890e-02
8.000000000000000000e+03 6.400499842129647732e-05 5.783166125183925033e-05 2.765859290957450867e-02
9.000000000000000000e+03 5.790004070149734616e-05 5.252423943602479994e-05 2.590045705437660217e-02
1.000000000000000000e+04 5.359905844670720398e-05 4.924394306726753712e-05 2.483108267188072205e-02
1.100000000000000000e+04 5.002916805096901953e-05 4.715267277788370848e-05 2.392346598207950592e-02
1.200000000000000000e+04 4.721027289633639157e-05 4.462225115275941789e-05 2.344109863042831421e-02
1.300000000000000000e+04 4.401262049213983119e-05 4.304333197069354355e-05 2.234649658203125000e-02
1.400000000000000000e+04 4.097971759620122612e-05 4.042627915623597801e-05 2.153939940035343170e-02
1.500000000000000000e+04 4.248469122103415430e-05 4.238855763105675578e-05 2.453423477709293365e-02
1.600000000000000000e+04 3.289417509222403169e-05 3.296097565907984972e-05 1.915124244987964630e-02
1.700000000000000000e+04 2.709959153435193002e-05 2.801735718094278127e-05 1.736118830740451813e-02
1.800000000000000000e+04 2.069827860395889729e-05 2.356934601266402751e-05 1.521992962807416916e-02
1.900000000000000000e+04 1.633576539461500943e-05 2.132201734639238566e-05 1.347230095416307449e-02
2.000000000000000000e+04 1.416094073647400364e-05 1.982270623557269573e-05 1.250337250530719757e-02
2.100000000000000000e+04 1.295091806241543964e-05 1.896711728477384895e-05 1.196916121989488602e-02
2.200000000000000000e+04 1.211403559864265844e-05 1.790763781173154712e-05 1.161095779389142990e-02
2.300000000000000000e+04 1.165206958830822259e-05 1.721560511214192957e-05 1.162624638527631760e-02
2.400000000000000000e+04 1.315519966738065705e-05 1.703398083918727934e-05 1.379163470119237900e-02
2.500000000000000000e+04 1.042736585077363998e-05 1.559230622660834342e-05 1.089046988636255264e-02
2.600000000000000000e+04 1.010857977234991267e-05 1.458214956073788926e-05 1.084712892770767212e-02
2.700000000000000000e+04 9.637765288061928004e-06 1.443005930923391134e-05 1.052771601825952530e-02
2.800000000000000000e+04 1.051711387844989076e-05 1.576422073412686586e-05 1.226716674864292145e-02
2.900000000000000000e+04 9.283446161134634167e-06 1.406014234817121178e-05 1.071327924728393555e-02
3.000000000000000000e+04 8.705959771759808064e-06 1.306104877585312352e-05 1.007557008415460587e-02
