# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.405820339918136597e-01 2.154082059860229492e-01 1.001571774482727051e+00
1.000000000000000000e+03 3.092225175350904465e-03 3.309780731797218323e-03 2.025450319051742554e-01
2.000000000000000000e+03 1.202760846354067326e-03 1.375508145429193974e-03 1.300944089889526367e-01
3.000000000000000000e+03 9.028105414472520351e-04 1.047849771566689014e-03 1.129119694232940674e-01
4.000000000000000000e+03 7.006810046732425690e-04 8.169830543920397758e-04 9.901241958141326904e-02
5.000000000000000000e+03 5.452575860545039177e-04 6.400797283276915550e-04 8.704259991645812988e-02
6.000000000000000000e+03 2.367419947404414415e-04 2.898355596698820591e-04 5.633440613746643066e-02
7.000000000000000000e+03 1.548420841572806239e-04 1.839130127336829901e-04 4.549716040492057800e-02
8.000000000000000000e+03 7.992141763679683208e-05 8.996193355415016413e-05 3.130453079938888550e-02
9.000000000000000000e+03 4.500882278080098331e-05 4.873238503932952881e-05 2.333755977451801300e-02
1.000000000000000000e+04 3.600676427595317364e-05 3.875917536788620055e-05 2.058676630258560181e-02
1.100000000000000000e+04 4.824453208129853010e-05 5.125351890455931425e-05 2.809866517782211304e-02
1.200000000000000000e+04 2.814427534758578986e-05 3.003376150445546955e-05 1.816060580313205719e-02
1.300000000000000000e+04 2.531729660404380411e-05 2.713769754336681217e-05 1.731361821293830872e-02
1.400000000000000000e+04 2.291917371621821076e-05 2.484033575456123799e-05 1.656342484056949615e-02
1.500000000000000000e+04 2.198271795350592583e-05 2.377910641371272504e-05 1.752292551100254059e-02
1.600000000000000000e+04 1.993013756873551756e-05 2.177383430534973741e-05 1.665982976555824280e-02
1.700000000000000000e+04 1.743069879012182355e-05 1.938730929396115243e-05 1.457669958472251892e-02
1.800000000000000000e+04 2.868703995773103088e-05 2.995553040818776935e-05 2.423277124762535095e-02
1.900000000000000000e+04 1.740404331940226257e-05 1.886102108983322978e-05 1.706934161484241486e-02
2.000000000000000000e+04 1.380332378175808117e-05 1.526012420072220266e-05 1.345489360392093658e-02
2.100000000000000000e+04 1.301959673583041877e-05 1.437215632904553786e-05 1.300258561968803406e-02
2.200000000000000000e+04 1.238976983586326241e-05 1.366525793855544180e-05 1.273988932371139526e-02
2.300000000000000000e+04 1.184539178211707622e-05 1.305741079704603180e-05 1.250692736357450485e-02
2.400000000000000000e+04 1.136995524575468153e-05 1.253059235750697553e-05 1.229038462042808533e-02
2.500000000000000000e+04 1.095042989618377760e-05 1.207166314998175949e-05 1.209636963903903961e-02
2.600000000000000000e+04 1.058663110597990453e-05 1.166170295618940145e-05 1.182924956083297729e-02
2.700000000000000000e+04 1.022898413793882355e-05 1.128635176428360865e-05 1.175780314952135086e-02
2.800000000000000000e+04 9.932609827956184745e-06 1.097862150345463306e-05 1.169441081583499908e-02
2.900000000000000000e+04 9.641162250773049891e-06 1.065956348611507565e-05 1.146250031888484955e-02
3.000000000000000000e+04 9.379722541780211031e-06 1.038256050378549844e-05 1.134277321398258209e-02
